2016.78689     22.31      0.96
2016.78962     24.70      0.92
2016.79235     26.50      0.91
2016.79508     25.07      0.88
2016.79781     23.18      0.94
2016.80055     26.50      1.01
2016.80328     24.91      0.97
2016.80601     28.75      0.89
2016.80874     26.72      0.89
2016.81148     27.19      0.91
2016.81421     25.51      0.91
2016.81694     23.85      0.90
2016.81967     22.97      0.91
2016.82240     23.53      0.89
2016.82514     25.73      0.89
2016.82787     22.58      0.91
2016.83060     23.78      0.89
2016.83333     24.26      0.90
2016.83607     23.97      0.89
2016.83880     24.47      0.89
2016.84153     24.80      0.89
2016.84426     24.36      0.90
2016.84699     25.72      0.92
2016.84973     25.37      0.90
2016.85246     25.12      0.90
2016.85519     24.83      0.89
2016.85792     23.73      0.95
2016.86066     24.36      0.90
2016.86339     23.65      0.89
2016.86612     22.91      0.90
2016.86885     24.45      0.90
2016.87158     23.98      0.89
2016.87432     24.64      0.88
2016.87705     24.90      0.89
2016.87978     25.58      0.92
2016.88251     24.98      0.90
2016.88525     21.95      0.91
2016.88798     21.49      0.90
2016.89071     21.81      0.90
2016.89344     23.79      0.91
2016.89617     24.21      0.89
2016.89891     23.61      0.89
2016.90164     25.97      0.93
2016.90437     21.57      0.95
2016.90710     19.22      0.93
2016.90984     21.93      0.89
2016.91257     22.70      0.95
2016.91530     21.40      0.90
2016.91803     21.06      0.90
2016.92077     21.05      0.88
2016.92350     23.61      0.90
2016.92623     24.07      0.90
2016.92896     22.80      0.93
2016.93169     21.81      0.93
2016.93443     20.74      0.90
2016.93716     22.68      0.92
2016.93989     22.43      0.90
2016.94262     22.43      0.89
2016.94536     23.30      0.89
2016.94809     20.08      1.79
2016.95082     18.20      1.79
2016.95355     21.77      1.04
2016.95628     20.78      0.91
2016.95902     22.83      0.89
2016.96175     19.78      0.91
2016.96448     20.41      0.89
2016.96721     20.99      1.15
2016.96995     22.94      1.06
2016.97268     23.98      0.92
2016.97541     22.35      0.90
2016.97814     23.04      0.89
2016.98087     21.93      0.89
2016.98361     22.51      1.30
2016.98634     22.99      2.15
2016.98907     21.36      1.08
2016.99180     21.73      0.89
2016.99454     22.46      0.89
2016.99727     22.30      0.90
2017.00000     20.21      0.92
2017.00274     20.39      0.91
2017.00548     20.66      0.90
2017.00822     22.79      0.89
2017.01096     21.58      0.90
2017.01370     22.23      0.91
2017.01644     22.39      0.93
2017.01918     22.36      0.91
2017.02192     22.51      0.91
